date,stablecoin_name,price,circulating_supply_usd,total_volume_usd,tvl_global_usd,price_deviation,log_volume,anomaly_score,is_anomaly
2017-11-09,USDT,1.008180022239685,465644400.0,358188000,558773280.0,0.008180022239685059,19.69656854898403,1,0
2017-11-10,USDT,1.0060100555419922,983379820.8,756446016,1180055784.96,0.0060100555419921875,20.444141729756893,1,0
2017-11-11,USDT,1.0089900493621826,970096358.4,746227968,1164115630.08,0.008990049362182617,20.43054169995724,1,0
2017-11-12,USDT,1.012470006942749,1905878041.6,1466060032,2287053649.92,0.012470006942749023,21.105844389777072,1,0
2017-11-13,USDT,1.0093499422073364,998249241.6,767884032,1197899089.92,0.009349942207336426,20.45914928101258,1,0
2017-11-14,USDT,1.0068299770355225,558815379.2,429857984,670578455.0400001,0.006829977035522461,19.87896544465972,1,0
2017-11-15,USDT,1.0031800270080566,584572310.4,449671008,701486772.4799999,0.0031800270080566406,19.924026782240094,1,0
2017-11-16,USDT,1.002120018005371,845362668.8000001,650278976,1014435202.56,0.0021200180053710938,20.29291202416058,1,0
2017-11-17,USDT,1.001389980316162,831217420.8000001,639398016,997460904.96,0.0013899803161621094,20.276037693240195,1,0
2017-11-18,USDT,1.002310037612915,764576800.0,588136000,917492160.0,0.002310037612915039,20.192468773336206,1,0
2017-11-19,USDT,1.0024399757385254,631478889.6,485752992,757774667.52,0.0024399757385253906,20.001210807808604,1,0
2017-11-20,USDT,1.0019199848175049,584473510.4,449595008,701368212.4799999,0.0019199848175048828,19.92385775550349,1,0
2017-11-21,USDT,0.996047019958496,809443731.2,622649024,971332477.44,0.003952980041504017,20.249493555242466,1,0
2017-11-22,USDT,1.0001499652862549,649755600.0,499812000,779706720.0,0.0001499652862548828,20.029742587681493,1,0
2017-11-23,USDT,0.9946309924125672,956647910.4,735883008,1147977492.48,0.00536900758743275,20.416581708895396,1,0
2017-11-24,USDT,1.00232994556427,1103216358.4,848627968,1323859630.0800002,0.0023299455642700195,20.559131449180644,1,0
2017-11-25,USDT,1.0054099559783936,847584358.4,651987968,1017101230.08,0.005409955978393555,20.295536667266692,1,0
2017-11-26,USDT,1.008679986000061,827387558.4,636451968,992865070.08,0.008679986000061035,20.27141951199893,1,0
2017-11-27,USDT,1.001289963722229,1019768089.6,784436992,1223721707.52,0.001289963722229004,20.480476812061728,1,0
2017-11-28,USDT,1.0001399517059326,1033193241.6,794764032,1239831889.92,0.0001399517059326172,20.493555814724182,1,0
2017-11-29,USDT,0.9906060099601746,2173756083.2000003,1672120064,2608507299.84,0.00939399003982544,21.23735815824129,1,0
2017-11-30,USDT,1.0081000328063965,1357160979.2,1043969984,1628593175.04,0.008100032806396484,20.766296575993568,1,0
2017-12-01,USDT,1.0097800493240356,974214758.4,749395968,1169057710.08,0.009780049324035645,20.43477806533955,1,0
2017-12-02,USDT,0.9996539950370787,883935020.8000001,679950016,1060722024.96,0.0003460049629212536,20.33752984902108,1,0
2017-12-03,USDT,1.0006599426269531,1230773689.6,946748992,1476928427.5200002,0.000659942626953125,20.66854456110685,1,0
2017-12-04,USDT,1.0036699771881104,869063020.8000001,668510016,1042875624.96,0.0036699771881103516,20.320561938687202,1,0
2017-12-05,USDT,1.0019700527191162,1058389779.2,814145984,1270067735.04,0.001970052719116211,20.517650250638667,1,0
2017-12-06,USDT,1.009909987449646,1665937062.4,1281490048,1999124474.88,0.009909987449645996,20.97128933861925,1,0
2017-12-07,USDT,1.0316599607467651,2173092979.2000003,1671609984,2607711575.0400004,0.03165996074676514,21.23705306183917,-1,1
2017-12-08,USDT,1.0176000595092771,2590939020.8,1993030016,3109126824.96,0.01760005950927712,21.4129219392779,1,0
2017-12-09,USDT,1.0171300172805786,2078582937.6,1598909952,2494299525.12,0.017130017280578613,21.192587954640896,1,0
2017-12-10,USDT,1.0177500247955322,2144350041.6,1649500032,2573220049.92,0.017750024795532227,21.223738068638973,1,0
2017-12-11,USDT,1.0185600519180298,2004755916.8,1542119936,2405707100.16,0.018560051918029785,21.15642388921847,1,0
2017-12-12,USDT,1.0778800249099731,2913091916.8,2240839936,3495710300.1600003,0.07788002490997314,21.530116604403975,-1,1
2017-12-13,USDT,1.0271600484848022,2857581875.2000003,2198139904,3429098250.24,0.027160048484802246,21.510877341948603,-1,1
2017-12-14,USDT,1.008190035820007,3037033958.4,2336179968,3644440750.08,0.008190035820007102,21.571782940468818,1,0
2017-12-15,USDT,1.01610004901886,2657849958.4,2044499968,3189419950.08,0.016100049018860085,21.43841908260634,1,0
2017-12-16,USDT,1.0074199438095093,2070548979.2,1592729984,2484658775.04,0.007419943809509277,21.188715352565794,1,0
2017-12-17,USDT,1.0092400312423706,2510326041.6,1931020032,3012391249.92,0.009240031242370605,21.381314214756376,1,0
2017-12-18,USDT,1.0130200386047363,3272399104.0,2517230080,3926878924.8,0.013020038604736328,21.646424959728392,1,0
2017-12-19,USDT,1.0106799602508545,3996018124.8,3073860096,4795221749.76,0.010679960250854492,21.846199969316,1,0
2017-12-20,USDT,1.0001800060272217,4877327104.0,3751790080,5852792524.8,0.0001800060272216797,22.045498917964444,1,0
2017-12-21,USDT,1.0092099905014038,4038736000.0,3106720000,4846483200.0,0.009209990501403809,21.8568333445323,1,0
2017-12-22,USDT,1.0179500579833984,6094334771.2,4687949824,7313201725.44,0.017950057983398438,22.268261186305484,1,0
2017-12-23,USDT,1.045259952545166,3059862041.6,2353740032,3671834449.92,0.045259952545166016,21.579271403407287,-1,1
2017-12-24,USDT,1.0230300426483154,3395066854.4,2611589888,4074080225.28,0.02303004264831543,21.683225025696277,1,0
2017-12-25,USDT,1.0111299753189087,2220894041.6,1708380032,2665072849.92,0.011129975318908691,21.258811409319385,1,0
2017-12-26,USDT,1.0040700435638428,2411214041.6,1854780032,2893456849.92,0.0040700435638427734,21.341031945381584,1,0
2017-12-27,USDT,1.003659963607788,2521934937.6,1939949952,3026321925.12,0.003659963607788086,21.38592801226621,1,0
2017-12-28,USDT,1.0065900087356567,2874832896.0,2211409920,3449799475.2,0.006590008735656738,21.516896122360784,1,0
2017-12-29,USDT,1.0056400299072266,2507817062.4,1929090048,3009380474.88,0.0056400299072265625,21.380314251480808,1,0
2017-12-30,USDT,1.0213500261306765,3524377958.4,2711059968,4229253550.08,0.02135002613067649,21.72060552783798,1,0
