fecha,crypto_id,open,high,low,close,volume
2024-04-23,bitcoin,66432.04,67082.8,64506.8,64616.66,586367985.9683213
2024-04-24,bitcoin,64616.66,65142.86,62800.0,64137.11,621670568.0040953
2024-04-25,bitcoin,64137.11,65281.92,63350.01,63508.98,584903073.9412293
2024-04-26,bitcoin,63508.98,64160.69,62399.33,62960.35,510412562.4566461
2024-04-27,bitcoin,62960.35,64367.89,62751.16,63542.91,440612265.6902915
2024-04-28,bitcoin,63542.91,63980.39,61802.0,63036.11,451439773.4580041
2024-04-29,bitcoin,63036.11,64736.7,60551.72,60791.91,456055299.4359395
2024-04-30,bitcoin,60791.91,61064.93,56571.0,56885.95,663277121.8227624
2024-05-01,bitcoin,56885.95,59467.95,56636.36,59263.71,615954439.3839314
2024-05-02,bitcoin,59263.71,62117.65,58628.5,61679.4,569863081.9903563
2024-05-03,bitcoin,61679.4,64542.02,61538.49,63605.83,516824208.5748509
2024-05-04,bitcoin,63605.83,64632.11,62890.63,64433.8,504376125.4079311
2024-05-05,bitcoin,64433.8,65500.0,62916.53,63625.68,351192859.3826483
2024-05-06,bitcoin,63625.68,64399.42,62703.57,63742.21,375634034.8722814
2024-05-07,bitcoin,63742.21,63894.04,61778.9,62273.89,350663991.6683866
2024-05-08,bitcoin,62273.89,62757.64,60619.5,62162.25,322619944.058329
2024-05-09,bitcoin,62162.25,63464.24,60701.0,60920.26,300386376.2810674
2024-05-10,bitcoin,60920.26,61513.77,60200.61,61172.52,313745658.54537
2024-05-11,bitcoin,61172.52,61555.16,60608.2,61410.16,187747610.6790546
2024-05-12,bitcoin,61410.16,63282.58,60766.66,63008.22,322969909.6703435
2024-05-13,bitcoin,63008.22,63452.38,61141.02,61783.51,375038110.1236019
2024-05-14,bitcoin,61783.51,65067.9,61161.58,64719.32,343557593.4722686
2024-05-15,bitcoin,64719.32,66746.27,64706.72,65824.75,640434196.5092345
2024-05-16,bitcoin,65824.75,67438.87,64611.79,67196.42,603088543.0730456
